row_id,source_slug,page,name,cluster_id,canon_id
1,kawakib_nayyirat,ج1/ص64,أحمد بن عبد الرحمن بن وهب بن مسلم القرشي أبو عبيد الله المصري بحشل,0,70860
2,kawakib_nayyirat,ج1/ص72,أبان بن صمعة بالصاد المهملة الأنصاري,1,
3,kawakib_nayyirat,ج1/ص79,إبراهيم بن أبي العباس ويقال بن العباس السامري بكسر الميم وتخفيف الراء,2,7214
4,kawakib_nayyirat,ج1/ص82,إسحاق بن إبراهيم بن مخلد بن مطر الحنظلي أبو يعقوب المعروف بابن راهويه مروزي إمام من أعلام الأئمة,3,
5,kawakib_nayyirat,ج1/ص93,أحمد بن مالك أبو بكر القطيعي,4,
6,kawakib_nayyirat,ج1/ص98,أحمد بن أبي القاسم بن سنبلة البغدادي,5,
7,kawakib_nayyirat,ج1/ص99,إسماعيل بن عياش بن سليم بالضم معدود في الحمصيين,6,109
8,kawakib_nayyirat,ج1/ص105,إبراهيم بن خثيم بن عراك بن مالك,7,13335
9,kawakib_nayyirat,ج1/ص107,بحر بن مرار بن عبد الرحمن بن أبي بكرة الثقفي أبو معاذ معدود في البصريين,8,73830
10,kawakib_nayyirat,ج1/ص110,بشر بن الوليد الكندي الفقيه,9,63752
11,kawakib_nayyirat,ج1/ص112,جرير بن حازم بن زيد الأزدي أبو النضر معدود في البصريين,10,
12,kawakib_nayyirat,ج1/ص121,جرير بن عبد الحميد الضبي,11,925
13,kawakib_nayyirat,ج1/ص124,حبان بالكسر بن يسار الكلابي أبو روح ويقال أبو رويحة البصري,12,
14,kawakib_nayyirat,ج1/ص127,حصين بضم الحاء المهملة بن عبد الرحمن السلمي,13,
15,kawakib_nayyirat,ج1/ص142,حنظلة بن عبد الله,14,110861
16,kawakib_nayyirat,ج1/ص146,الحسين بن الحسين,15,
17,kawakib_nayyirat,,الحسين بن علي النخعي,16,
18,kawakib_nayyirat,ج1/ص149,خالد بن طهمان أبو العلاء الخفاف,17,9891
19,kawakib_nayyirat,ج1/ص152,خطاب بفتح الخاء المعجمة وتشديد الطاء المهملة بن القاسم الحراني أبو عمر قاضي حران,18,
20,kawakib_nayyirat,ج1/ص156,خلف بن خليفة بن صاعد الأشجعي التابعي مولاهم أبو أحمد,19,19041
21,kawakib_nayyirat,,داود بن فراهيج,20,
22,kawakib_nayyirat,ج1/ص164,ربيعة بن أبي عبد الرحمن واسم أبي عبد الرحمن فروخ القرشي التيمي التابعي أبو عثمان المعروف بربيعة الرأي,21,
23,kawakib_nayyirat,ج1/ص177,رواد بن الجراح العسقلاني أبو عصام,22,
24,kawakib_nayyirat,ج1/ص179,سعيد بن إياس أبو مسعود الجريري بضم الجيم وفتح الراء المهملة معدود في البصريين,23,
25,kawakib_nayyirat,ج1/ص191,سعيد بن أبي عروبة بفتح العين المهملة وتخفيف الراء المضمومة واسم أبى عروبة مهران بكسر الميم وإسكان الهاء أبو النضر معدود في البصريين اليشكري مولاهم,24,
26,kawakib_nayyirat,ج1/ص214,سعيد بن عبد العزيز بن أبي يحيى التنوخي أبو محمد,25,521
27,kawakib_nayyirat,ج1/ص221,سفيان بن عيينة بن أبي عمران واسمه ميمون,26,
28,kawakib_nayyirat,ج1/ص236,سلمة بن نبيط بن شريط الأشجعي أبو فراس,27,9464
29,kawakib_nayyirat,ج1/ص238,سماك بن حرب بن أوس بن خالد بن ثعلبة الذهلي,28,2325
30,kawakib_nayyirat,ج1/ص242,سهيل بن أبي صالح واسمه ذكوان السمان أبو,29,2115
31,kawakib_nayyirat,ج1/ص249,سعيد بن سفيان الأندلسي,30,23928
32,kawakib_nayyirat,ج1/ص251,شريك بن عبد الله النخعي أبو عبد الله القاضي,31,63533
33,kawakib_nayyirat,ج1/ص259,صالح بن نبهان مولى التوأمة بنت أمية بن خلف الجمحي أبو محمد,32,
34,kawakib_nayyirat,ج1/ص267,عبد الرزاق بن همام بن نافع الحميدي الصنعاني أبو بكر,33,
35,kawakib_nayyirat,ج1/ص283,عبد الرحمن بن عبد الله بن عتبة بن عبد الله بن مسعود الهذلي المسعودي أخو أبي العميس من كبار العلماء عن أبي بكر بن حزم,34,55229
36,kawakib_nayyirat,ج1/ص300,عبد الله بن جعفر بن غيلان بالغين المفتوحة الحافظ الرقي أبو عبد الرحمن القرشي,35,71697
37,kawakib_nayyirat,ج1/ص305,عبد الملك بن محمد بن عبد الله بن محمد بن عبد,36,
38,kawakib_nayyirat,ج1/ص315,عبد الوهاب بن عبد المجيد بن الصلت بن عبيد الله بن الحكم بن أبي العاص الثقفي أبو محمد,37,55179
39,kawakib_nayyirat,ج1/ص320,عطاء بن السائب بن مالك الثقفي أبو السائب,38,
40,kawakib_nayyirat,ج1/ص336,العلاء بن عبد الوارث الحضرمي أبو وهب ويقال أبو محمد,39,
41,kawakib_nayyirat,ج1/ص342,عمرو بن عبد الله بن عبيد ويقال عمرو بن عبد الله بن علي الهمداني أبو إسحاق السبيعي,40,55395
42,kawakib_nayyirat,ج1/ص358,عمرو بن عيسى بن سويد بن هبيرة أبو نعامة العدوي,41,1017
43,kawakib_nayyirat,ج1/ص361,عبد الله بن محمد بن محمد بن سليمان النشاوري المكي,42,
44,kawakib_nayyirat,ج1/ص362,عبد الله بن واقد أبو قتادة الحراني,43,36899
45,kawakib_nayyirat,,عبد الباقي بن قانع أبو الحسين الحافظ مصنف المعجم في الصحابة,44,
46,kawakib_nayyirat,ج1/ص365,عبد السلام بن سهل أبو علي السكري بغدادي,45,
47,kawakib_nayyirat,ج1/ص367,عبيدة بن معتب الضبي,46,4132
48,kawakib_nayyirat,ج1/ص368,على بن الحسين أبو الفرج الأصبهاني صاحب الأغاني,47,
49,kawakib_nayyirat,,فطر بن حماد بن واقد بصري,48,31958
50,kawakib_nayyirat,ج1/ص371,قريش بن أنس الأنصاري وقيل الأموي مولاهم أبو أنس,49,
51,kawakib_nayyirat,ج1/ص375,قيس بن أبي حازم واسمه حصين بن عوف ويقال عبد بن عوف بن عبد الحارث بن عوف البجلي الأحمسي,50,
52,kawakib_nayyirat,ج1/ص383,محمد بن الفضل أبو النعمان السدوسي الحافظ عارم,51,52655
53,kawakib_nayyirat,ج1/ص395,محمد بن عبد الله بن المثنى بن عبد الله بن أنس بن,52,1787
54,kawakib_nayyirat,ج1/ص404,محمد بن أحمد بن الحسين بن القاسم بن السرى بن الغطريف الغطريفي الجرجاني الرباطي,53,
55,kawakib_nayyirat,ج1/ص410,محمد بن أحمد بن الحسن الجرجاني,54,25814
56,kawakib_nayyirat,ج1/ص411,محمد بن الفضل بن محمد بن إسحاق بن خزيمة,55,2357
57,kawakib_nayyirat,ج1/ص413,محمد بن مبارك بن مشق البغدادي,56,
58,kawakib_nayyirat,ج1/ص414,محمد بن علي بن محمود بن الصابوني المحمودي الحافظ روى عنه الدمياطي,57,
59,kawakib_nayyirat,,محمد بن إسحاق بن يحيى بن منده الحافظ الجوال صاحب التصانيف,58,
60,kawakib_nayyirat,ج1/ص418,محمد بن زهير أبو يعلى الأبلى,59,1539
61,kawakib_nayyirat,ج1/ص419,محمد بن سعيد بن نبهان الكاتب,60,26061
62,kawakib_nayyirat,ج1/ص420,محمد بن عبد القادر بن عثمان الجعفري النابلسي الحنبلي,61,
63,kawakib_nayyirat,,محمد بن موسى بن محمد اللخمي الشافعي بن سند الحافظ شمس الدين,62,
64,kawakib_nayyirat,ج1/ص422,هاشم بن القاسم بن شيبة القرشي أبو محمد,63,4837
65,kawakib_nayyirat,ج1/ص425,هشام بن عمار بن نصير بن ميسرة السلمي أبو الوليد,64,481
66,kawakib_nayyirat,ج1/ص432,هلال بن خباب العبدي أبو العلاء,65,
67,kawakib_nayyirat,ج1/ص437,يحيى بن يمان العجلي الكوفي أبو زكريا,66,38911
68,kawakib_nayyirat,ج1/ص440,أبو بكر بن عياش بن سالم الأسدي الإمام المقرىء,67,
69,kawakib_nayyirat,ج1/ص445,أبو جعفر الرازي مولى بني تميم,68,
70,kawakib_nayyirat,ج1/ص450,سكرة بنت عبد الله الملقبة قطر النبات عتيقة جمال الدين محمد بن علي بن عبد النور,69,
71,kawakib_nayyirat,ج1/ص453,إسحاق بن محمد بن إسماعيل بن عبد الله,70,
72,kawakib_nayyirat,ج1/ص455,أصبغ مولى عمرو بن حريث - بضم ففتح - المخزومي,71,
73,kawakib_nayyirat,ج1/ص456,الحارث بن عمير - أبو عمير - البصري نزيل مكة,72,
74,kawakib_nayyirat,ج1/ص457,حجاج بن محمد المصيصي الأعور - أبو محمد - الترمذي الأصل نزل بغداد ثم المصيصة,73,
75,kawakib_nayyirat,ج1/ص459,حفص بن غياث - بمعجمة مكسورة وياء ومثلثة - ابن طلق بن معاوية النخعي أبو عمر الكوفي القاضي,74,18922
76,kawakib_nayyirat,ج1/ص461,حماد بن سلمة بن دينار - أبو سلمة - البصري,75,205
