tabaqa_order,tabaqa,tabaqa_basis,name_norm,display_name,n_books,n_entries,source_types,books,pages
1,١ الصحابة,text:صحابي,ابو بكر بن عبد الله بن محمد بن,أبو بكر بن عبد الله بن محمد بن,2,2,general (six-books); jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; kashif_dhahabi,
1,١ الصحابة,text:صحابي,ابو رافع مولي رسول الله صلي الله عليه وسلم,أبو رافع مولى رسول الله -صلى الله عليه وسلم,2,2,biography; biography/ṭabaqāt,siyar_dhahabi; tabaqat_ibnsad,siyar_dhahabi:ج2/ص16 | tabaqat_ibnsad:ج4/ص67
1,١ الصحابة,text:صحابي,ابو عنبه الخولاني,أبو عنبة الخولاني,2,2,biography; biography/ṭabaqāt,siyar_dhahabi; tabaqat_ibnsad,siyar_dhahabi:ج3/ص433 | tabaqat_ibnsad:ج9/ص439
1,١ الصحابة,text:صحابي,اسماعيل بن اوسط البجلي,إسماعيل بن أوسط البجلي,2,2,general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),lisan_mizan_ibnhajar; mughni_duafa_dhahabi,
1,١ الصحابة,text:صحابي,اسود بن خلف الحراني,أسود بن خلف الحراني,2,2,general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),lisan_mizan_ibnhajar; mughni_duafa_dhahabi,
1,١ الصحابة,text:صحابي,الحارث بن النعمان,الحارث بن النعمان,2,3,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,tabaqat_ibnsad:ج3/ص443 | tabaqat_ibnsad:ج4/ص320 | duafa_uqayli:ج1/ص214
1,١ الصحابة,arsanad:tabaqa,الحارث بن عمرو,الحارث بن عمرو,2,2,biography/ṭabaqāt; general,tabaqat_ibnsad; tarikh_kabir_bukhari,tabaqat_ibnsad:ج7/ص63
1,١ الصحابة,text:صحابي,المختار بن ابي عبيد الثقفي الكذاب,المختار بن أبي عبيد الثقفي الكذاب,2,2,biography; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; siyar_dhahabi,siyar_dhahabi:ج3/ص538
1,١ الصحابة,arsanad:tabaqa,بلال بن رباح,بلال بن رباح,2,2,biography; biography/ṭabaqāt,siyar_dhahabi; tabaqat_ibnsad,siyar_dhahabi:ج1/ص347 | tabaqat_ibnsad:ج3/ص213
1,١ الصحابة,text:صحابي,جاريه بن هرم ابو شيخ الفقيمي,جارية بن هرم أبو شيخ الفقيمي,2,2,general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_uqayli; lisan_mizan_ibnhajar,duafa_uqayli:ج1/ص203
1,١ الصحابة,text:صحابي,حزن بن نباته,حزن بن نباتة,2,2,general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),lisan_mizan_ibnhajar; mughni_duafa_dhahabi,
1,١ الصحابة,text:صحابي,رقيه بنت رسول الله صلي الله عليه وسلم,رقية بنت رسول الله * -صلى الله عليه وسلم,2,2,biography; biography/ṭabaqāt,siyar_dhahabi; tabaqat_ibnsad,siyar_dhahabi:ج2/ص250 | tabaqat_ibnsad:ج10/ص36
1,١ الصحابة,text:صحابي,سعيد بن زيد,سعيد بن زيد,2,3,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,tabaqat_ibnsad:ج3/ص352 | tabaqat_ibnsad:ج8/ص135
1,١ الصحابة,text:صحابي,سلام بن قيس,• سلام بن قيس,2,2,general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),lisan_mizan_ibnhajar; mughni_duafa_dhahabi,lisan_mizan_ibnhajar:ج4/ص101
1,١ الصحابة,text:صحابي,سليمان بن شهاب,سليمان بن شهاب,2,2,biography/ṭabaqāt; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad,tabaqat_ibnsad:ج8/ص321
1,١ الصحابة,text:صحابي,عبد الرحمن بن ابي ليلي,عبد الرحمن بن أبي ليلى,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,tabaqat_ibnsad:ج8/ص229 | duafa_uqayli:ج2/ص337
1,١ الصحابة,text:صحابي,عبد الرحمن بن صفوان,عبد الرحمن بن صفوان,2,2,biography/ṭabaqāt; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad,tabaqat_ibnsad:ج8/ص22
1,١ الصحابة,text:صحابي,عبد الرحمن بن ضباب الاشعري,عبد الرحمن بن ضباب الأشعري,2,2,general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_uqayli; lisan_mizan_ibnhajar,duafa_uqayli:ج2/ص334
1,١ الصحابة,text:طبقة,عبد الرحمن بن مالك بن مغول,عبد الرحمن بن مالك بن مغول,2,2,general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_uqayli; lisan_mizan_ibnhajar,duafa_uqayli:ج2/ص345
1,١ الصحابة,text:صحابي,عبد الله بن زيد,عبد الله بن زيد,3,7,biography/ṭabaqāt; general; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad; tarikh_kabir_bukhari,tarikh_kabir_bukhari:ج5/ص92 | tabaqat_ibnsad:ج3/ص497 | tabaqat_ibnsad:ج7/ص261 | tabaqat_ibnsad:ج7/ص592 | tabaqat_ibnsad:ج8/ص90
1,١ الصحابة,text:صحابي,عبد الله بن سهيل بن عمرو,عبد الله بن سهيل بن عمرو,2,2,biography; biography/ṭabaqāt,siyar_dhahabi; tabaqat_ibnsad,siyar_dhahabi:ج1/ص193 | tabaqat_ibnsad:ج3/ص376
1,١ الصحابة,text:صحابي,عبد الله بن سيدان المطرودي,عبد الله بن سيدان المطرودي,2,2,general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_uqayli; lisan_mizan_ibnhajar,duafa_uqayli:ج2/ص265
1,١ الصحابة,text:صحابي,عبد الله بن عمرو,عبد الله بن عمرو,2,9,biography/ṭabaqāt; general,tabaqat_ibnsad; tarikh_kabir_bukhari,tarikh_kabir_bukhari:ج5/ص151 | tabaqat_ibnsad:ج2/ص321 | tabaqat_ibnsad:ج3/ص572 | tabaqat_ibnsad:ج4/ص369 | tabaqat_ibnsad:ج6/ص104 | tabaqat_ibnsad:ج7/ص67 | tabaqat_ibnsad:ج7/ص397 | tabaqat_ibnsad:ج8/ص43
1,١ الصحابة,text:صحابي,عبد الله بن عمرو بن الفغوا عن ابيه,عبد الله بن عمرو بن الفغواء عن أبيه,2,2,general (six-books); jarḥ (ḍuʿafāʾ),kashif_dhahabi; mughni_duafa_dhahabi,
1,١ الصحابة,text:صحابي,عبد الله بن عمرو بن لويم,عبد الله بن عمرو بن لويم,2,2,general; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tarikh_kabir_bukhari,tarikh_kabir_bukhari:ج5/ص5
1,١ الصحابة,arsanad:tabaqa,عبد الله بن معاويه,عبد الله بن معاوية,2,2,biography/ṭabaqāt; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad,tabaqat_ibnsad:ج7/ص481
1,١ الصحابة,text:صحابي,عبيد بن عمرو,عبيد بن عمرو,2,3,biography/ṭabaqāt; general,tabaqat_ibnsad; tarikh_kabir_bukhari,tabaqat_ibnsad:ج4/ص403 | tabaqat_ibnsad:ج8/ص342
1,١ الصحابة,arsanad:tabaqa,عطيه بن بسر,عطية بن بسر,2,2,general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_uqayli; lisan_mizan_ibnhajar,duafa_uqayli:ج3/ص356
1,١ الصحابة,text:صحابي,عقبه بن نافع,عقبة بن نافع,2,2,biography/ṭabaqāt; general,tabaqat_ibnsad; tarikh_kabir_bukhari,tabaqat_ibnsad:ج6/ص138
1,١ الصحابة,text:صحابي,عكاشه بن محصن,عكاشة بن محصن,2,2,biography/ṭabaqāt; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad,tabaqat_ibnsad:ج3/ص86
1,١ الصحابة,text:صحابي,عمرو بن عثمان,عمرو بن عثمان,2,4,biography/ṭabaqāt; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad,tabaqat_ibnsad:ج4/ص120 | tabaqat_ibnsad:ج7/ص149 | tabaqat_ibnsad:ج7/ص557
1,١ الصحابة,text:صحابي,قيس بن زيد,قيس بن زيد,2,2,biography/ṭabaqāt; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad,tabaqat_ibnsad:ج6/ص253
1,١ الصحابة,text:صحابي,معن بن يزيد,معن بن يزيد,2,2,biography/ṭabaqāt; general,tabaqat_ibnsad; tarikh_kabir_bukhari,tabaqat_ibnsad:ج8/ص159
1,١ الصحابة,text:صحابي,معيقيب بن ابي فاطمه الدوسي,معيقيب بن أبي فاطمة الدوسي,2,2,biography; biography/ṭabaqāt,siyar_dhahabi; tabaqat_ibnsad,siyar_dhahabi:ج2/ص491 | tabaqat_ibnsad:ج4/ص109
1,١ الصحابة,text:صحابي,يزيد بن زمعه,يزيد بن زمعة,2,3,biography/ṭabaqāt; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad,tabaqat_ibnsad:ج4/ص113 | tabaqat_ibnsad:ج6/ص59
1,١ الصحابة,text:صحابي,يعلي بن مره,يعلى بن مرة,2,2,biography/ṭabaqāt; general,tabaqat_ibnsad; tarikh_kabir_bukhari,tabaqat_ibnsad:ج8/ص163
2,٢ كبار التابعين,text:وفاة,ابراهيم بن ابي الليث,إبراهيم بن أبي الليث,2,2,biography/ṭabaqāt; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad,tabaqat_ibnsad:ج9/ص364
2,٢ كبار التابعين,text:وفاة,ابراهيم بن عبد الله بن السفرقع,إبراهيم بن عبد الله بن السفرقع,2,2,general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),lisan_mizan_ibnhajar; mughni_duafa_dhahabi,
2,٢ كبار التابعين,text:وفاة,ابراهيم بن محمد بن ابي يحيي الاسلمي,إبراهيم بن محمد بن أبي يحيى الأسلمي,2,2,biography; tadlīs,siyar_dhahabi; tabaqat_mudallisin_ibnhajar,siyar_dhahabi:ج8/ص450
2,٢ كبار التابعين,text:وفاة,ابراهيم بن مهدي المصيصي,إبراهيم بن مهدي المصيصي,2,2,biography; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; siyar_dhahabi,lisan_mizan_ibnhajar:ج9/ص251 | siyar_dhahabi:ج10/ص556
2,٢ كبار التابعين,text:وفاة,ابراهيم بن هشام بن يحيي بن يحيي الغساني,إبراهيم بن هشام بن يحيى بن يحيى الغساني,2,2,general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; lisan_mizan_ibnhajar,
2,٢ كبار التابعين,text:وفاة,ابو امامه الباهلي,أبو أمامة الباهلي,2,3,biography; biography/ṭabaqāt,siyar_dhahabi; tabaqat_ibnsad,siyar_dhahabi:ج3/ص359 | tabaqat_ibnsad:ج6/ص211 | tabaqat_ibnsad:ج9/ص415
2,٢ كبار التابعين,text:وفاة,ابو ثعلبه الخشني,أبو ثعلبة الخشني,2,2,biography; biography/ṭabaqāt,siyar_dhahabi; tabaqat_ibnsad,siyar_dhahabi:ج2/ص567 | tabaqat_ibnsad:ج9/ص419
2,٢ كبار التابعين,text:وفاة,ابو رجا العطاردي عمران بن ملحان,أبو رجاء العطاردي: عمران بن ملحان. [= 4275].,2,2,biography; general (six-books),kashif_dhahabi; siyar_dhahabi,siyar_dhahabi:ج4/ص253
2,٢ كبار التابعين,text:وفاة,ابو زيد الهروي سعيد بن الربيع,أبو زيد الهروي: سعيد بن الربيع. [= 1882].,2,2,biography; general (six-books),kashif_dhahabi; siyar_dhahabi,siyar_dhahabi:ج9/ص496
2,٢ كبار التابعين,text:وفاة,ابو عبد الرحمن السلمي عبد الله بن حبيب,أبو عبد الرحمن السلمي: عبد الله بن حبيب.,2,2,biography; general (six-books),kashif_dhahabi; siyar_dhahabi,siyar_dhahabi:ج4/ص267
