cluster_id,canonical_name,canon_id,basis,flag,death,tabaqa,n_entries,n_books,books,variant_names,members
32305,عبد الله بن سعيد بن أبي هند ثقة قاله علي بن المديني,51383,canon,ok,6,,8,7,duafa_ibnjawzi; duafa_uqayli; kashif_dhahabi; marifat_thiqat_ijli; mughni_duafa_dhahabi; tabaqat_ibnsad; thiqat_ibnshahin,عبد الله بن سعيد بن أبي هند أبو ⟂ عبد الله بن سعيد بن أبي هند، عن ⟂ عبد الله بن سعيد بن أبي هند ثقة ⟂ عبد الله بن سعيد بن أبي هند ⟂ عبد الله بن سعيد بن أبي هند عن ⟂ عبد الله بن سعيد بن أبي هند الفزاري مدني ثقة ⟂ عبد الله بن سعيد بن أبي هند ثقة قاله علي بن المديني,kashif_dhahabi: | kashif_dhahabi:ج2/ص499 | mughni_duafa_dhahabi: | tabaqat_ibnsad:ج7/ص529 | duafa_ibnjawzi: | marifat_thiqat_ijli: | duafa_uqayli:ج2/ص261 | thiqat_ibnshahin:
32483,عبد الله بن لهيعة بن عقبة أبو عبد الرحمن البصري ضعيف,823,canon,ok,174,السابعة,7,7,duafa_ibnjawzi; duafa_nasai; duafa_uqayli; kashif_dhahabi; siyar_dhahabi; tabaqat_ibnsad; tabaqat_mudallisin_ibnhajar,عبد الله بن لهيعة أبو عبد الرحمن الحضرمي ⟂ عبد الله بن لهيعة بن عقبة الحضرمي ⟂ عبد الله بن لهيعة بن عقبة ⟂ عبد الله بن لهيعة بن عقبة أبو عبد ⟂ عبد الله بن لهيعة بن عقبة الحضرمي المصري ⟂ عبد الله بن لهيعة بن عقبة أبو عبد الرحمن البصري ضعيف ⟂ عبد الله بن لهيعة الحضرمي,kashif_dhahabi:ج1/ص590 | siyar_dhahabi:ج8/ص11 | tabaqat_ibnsad:ج9/ص524 | duafa_ibnjawzi: | duafa_uqayli:ج2/ص295 | duafa_nasai: | tabaqat_mudallisin_ibnhajar:ج0/ص54
33708,عمرو بن شعيب بن محمد بن عبد الله بن عمرو بن العاصي السهمي (2): كنيته,93,canon,ok,118,الخامسة,7,7,duafa_ibnjawzi; duafa_uqayli; kashif_dhahabi; majruhin_ibnhibban; marifat_thiqat_ijli; siyar_dhahabi; tabaqat_mudallisin_ibnhajar,عمرو بن شعيب بن محمد بن عبد الله ⟂ عمرو بن شعيب بن محمد السهمي ⟂ عمرو بن شعيب بن محمد بن عبد الله بن عمرو بن العاص ثقة ⟂ عمرو بن شعيب بن محمد بن عبد الله بن عمرو بن العاص السهمي ⟂ عمرو بن شعيب بن محمد بن عبد الله بن عمرو بن العاصي السهمي (2): كنيته ⟂ عمرو بن شعيب بن محمد بن عبد الله بن عمرو بن العاصي السهمي,kashif_dhahabi:ج2/ص78 | siyar_dhahabi:ج5/ص165 | duafa_ibnjawzi: | marifat_thiqat_ijli: | duafa_uqayli: | majruhin_ibnhibban:ج2/ص71 | tabaqat_mudallisin_ibnhajar:ج0/ص35
3549,روح بن عطاء بن أبي ميمونة البصري، عن أبيه,8333,canon,ok,171,,6,6,duafa_ibnjawzi; duafa_nasai; duafa_uqayli; lisan_mizan_ibnhajar; mughni_duafa_dhahabi; tarikh_kabir_bukhari,روح بن عطاء بن أبي ميمونة ⟂ روح بن عطاء بن أبي ميمونة البصري، عن أبيه ⟂ روح بن عطاء بن أبي ميمونة أبو معاذ ⟂ روح بن عطاء بن أبي ميمونة بصري ⟂ روح بن عطاء بن أبي ميمونة ضعيف,lisan_mizan_ibnhajar: | tarikh_kabir_bukhari: | mughni_duafa_dhahabi: | duafa_ibnjawzi: | duafa_uqayli:ج2/ص57 | duafa_nasai:
32620,عبد الأعلى بن عبد الأعلى السامي عن الحذاء,94283,canon,ok,189,,6,6,duafa_uqayli; kashif_dhahabi; marifat_thiqat_ijli; mughni_duafa_dhahabi; siyar_dhahabi; tabaqat_ibnsad,عبد الأعلى بن عبد الأعلى السامي عن الحذاء ⟂ عبد الأعلى بن عبد الأعلى السامي صدوق قال ⟂ عبد الأعلى بن عبد الأعلى السامي القرشي ⟂ عبد الأعلى بن عبد الأعلى القرشي ⟂ عبد الأعلى بن عبد الأعلى السامي بصري ثقة ⟂ عبد الأعلى بن عبد الأعلى السامي,kashif_dhahabi: | mughni_duafa_dhahabi: | siyar_dhahabi:ج9/ص242 | tabaqat_ibnsad:ج9/ص291 | marifat_thiqat_ijli: | duafa_uqayli:
8331,محمد بن يزيد بن أبي زياد عن أيوب بن قطن قال الدارقطني مجهول قلت هو الراوي عن القرظي حديث الصور الطويل,,name,ok,,,7,5,duafa_ibnjawzi; duafa_uqayli; kashif_dhahabi; lisan_mizan_ibnhajar; mughni_duafa_dhahabi,محمد بن يزيد بن أبي زياد ⟂ محمد بن يزيد بن أبي زياد الفلسطيني، نزيل ⟂ محمد بن يزيد بن أبي زياد عن أيوب بن قطن قال الدارقطني مجهول قلت هو الراوي عن القرظي حديث الصور الطويل ⟂ محمد بن يزيد بن أبي زياد عن أبيه ⟂ محمد بن يزيد بن أبي زياد يروي عن ⟂ محمد بن يزيد بن أبي يزيد يروي عن,lisan_mizan_ibnhajar: | kashif_dhahabi: | mughni_duafa_dhahabi: | mughni_duafa_dhahabi: | duafa_ibnjawzi: | duafa_ibnjawzi: | duafa_uqayli:ج4/ص147
90,عبد الرحمن بن أبي الزناد عبد الله بن ذكوان المدني مولى قريش,1655,canon,ok,174,السابعة,6,5,duafa_nasai; duafa_uqayli; kawakib_nayyirat; marifat_thiqat_ijli; tabaqat_ibnsad,عبد الرحمن بن أبي الزناد عبد الله بن ذكوان المدني مولى قريش ⟂ عبد الرحمن بن أبي الزناد ⟂ عبد الرحمن بن أبي الزناد بن عبد الله بن ذكوان المدني ثقة ⟂ عبد الرحمن بن أبي الزناد ضعيف,kawakib_nayyirat:ج1/ص478 | tabaqat_ibnsad:ج7/ص594 | tabaqat_ibnsad:ج9/ص326 | marifat_thiqat_ijli: | duafa_uqayli: | duafa_nasai:
33073,عبيد الله بن أبي زياد القداح المكي عن,,name,ok,,,6,5,duafa_ibnjawzi; duafa_nasai; duafa_uqayli; kashif_dhahabi; marifat_thiqat_ijli,عبيد الله بن أبي زياد القداح المكي عن ⟂ عبيد الله بن أبي زياد الرصافي عن الزهري ⟂ عبيد الله بن أبي زياد أبو الحصين القداح ⟂ عبيد الله بن أبي زياد القداح المكي ثقة ⟂ عبيد الله بن أبي زياد القداح مكي ⟂ عبيد الله بن أبي زياد القداح ليس بالقوي,kashif_dhahabi: | kashif_dhahabi: | duafa_ibnjawzi: | marifat_thiqat_ijli: | duafa_uqayli:ج3/ص118 | duafa_nasai:
59493,يحيى بن أبي حية أبو جناب الكلبي ضعيف كوفي,4342,canon,ok,147,السادسة,6,5,duafa_ibnjawzi; duafa_nasai; duafa_uqayli; jami_tahsil_alai; tabaqat_mudallisin_ibnhajar,يحيى بن أبي حية أبو جناب الكلبي الكوفي ⟂ يحيى بن أبي حية أبو جناب الكلبي كوفي ⟂ يحيى بن أبي حية أبو جناب الكلبي ضعفوه ⟂ يحيى بن أبي حية أبو جناب الكلبي قال ⟂ يحيى بن أبي حية أبو جناب الكلبي ضعيف كوفي ⟂ يحيى بن أبي حية الكلبي,duafa_ibnjawzi: | duafa_uqayli:ج4/ص398 | jami_tahsil_alai:ج1/ص111 | jami_tahsil_alai: | duafa_nasai: | tabaqat_mudallisin_ibnhajar:ج0/ص57
89,عبد الرحمن بن ثابت بن ثوبان العنسي - بالنون - الدمشقي الزاهد,47649,canon,ok,,,5,5,duafa_ibnjawzi; duafa_uqayli; jami_tahsil_alai; kashif_dhahabi; kawakib_nayyirat,عبد الرحمن بن ثابت بن ثوبان العنسي - بالنون - الدمشقي الزاهد ⟂ عبد الرحمن بن ثابت بن ثوبان العنسي الزاهد ⟂ عبد الرحمن بن ثابت بن ثوبان الشامي عن ⟂ عبد الرحمن بن ثابت بن ثوبان الشامي ⟂ عبد الرحمن بن ثابت بن ثوبان سمعت أبي,kawakib_nayyirat:ج1/ص477 | kashif_dhahabi: | duafa_ibnjawzi: | duafa_uqayli:ج2/ص326 | jami_tahsil_alai:ج1/ص322
