name_norm,display_name,n_books,n_entries,source_types,books,pages
ابراهيم بن عبد الله,إبراهيم بن عبد الله,5,9,biography; biography/ṭabaqāt; general; general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),lisan_mizan_ibnhajar; mughni_duafa_dhahabi; siyar_dhahabi; tabaqat_ibnsad; tarikh_kabir_bukhari,tabaqat_ibnsad:ج7/ص426 | tabaqat_ibnsad:ج7/ص473 | tabaqat_ibnsad:ج7/ص538
الحسين بن علي النخعي,الحسين بن علي النخعي,4,4,general/jarḥ+taʿdīl; ikhtilāṭ; jarḥ (ḍuʿafāʾ),ightibat_sibt_ibnajami; kawakib_nayyirat; lisan_mizan_ibnhajar; mughni_duafa_dhahabi,
داود بن فراهيج,داود بن فراهيج,4,4,biography/ṭabaqāt; general/jarḥ+taʿdīl; ikhtilāṭ,ightibat_sibt_ibnajami; kawakib_nayyirat; lisan_mizan_ibnhajar; tabaqat_ibnsad,tabaqat_ibnsad:ج7/ص305
محمد بن عبد الله,محمد بن عبد الله,3,16,biography/ṭabaqāt; general; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad; tarikh_kabir_bukhari,tabaqat_ibnsad:ج7/ص265 | tabaqat_ibnsad:ج7/ص312 | tabaqat_ibnsad:ج7/ص479 | tabaqat_ibnsad:ج7/ص497 | tabaqat_ibnsad:ج7/ص535 | tabaqat_ibnsad:ج7/ص555 | tabaqat_ibnsad:ج7/ص569 | tabaqat_ibnsad:ج7/ص579 | tabaqat_ibnsad:ج7/ص582 | tabaqat_ibnsad:ج8/ص82 | tabaqat_ibnsad:ج8/ص538
محمد بن عبد الرحمن,محمد بن عبد الرحمن,3,15,biography/ṭabaqāt; general; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad; tarikh_kabir_bukhari,tabaqat_ibnsad:ج7/ص207 | tabaqat_ibnsad:ج7/ص239 | tabaqat_ibnsad:ج7/ص278 | tabaqat_ibnsad:ج7/ص487 | tabaqat_ibnsad:ج7/ص493 | tabaqat_ibnsad:ج7/ص522 | tabaqat_ibnsad:ج7/ص595 | tabaqat_ibnsad:ج8/ص57 | tabaqat_ibnsad:ج8/ص415 | tabaqat_ibnsad:ج8/ص478
عبد الله بن عبد الرحمن,عبد الله بن عبد الرحمن,3,12,biography/ṭabaqāt; general; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad; tarikh_kabir_bukhari,tabaqat_ibnsad:ج7/ص193 | tabaqat_ibnsad:ج7/ص237 | tabaqat_ibnsad:ج7/ص419 | tabaqat_ibnsad:ج7/ص601 | tabaqat_ibnsad:ج8/ص47 | tabaqat_ibnsad:ج8/ص81
عبد الله بن يزيد,عبد الله بن يزيد,3,9,biography/ṭabaqāt; general; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad; tarikh_kabir_bukhari,tabaqat_ibnsad:ج7/ص512 | tabaqat_ibnsad:ج7/ص525 | tabaqat_ibnsad:ج7/ص599 | tabaqat_ibnsad:ج8/ص80 | tabaqat_ibnsad:ج8/ص141
عبد الله بن زيد,عبد الله بن زيد,3,7,biography/ṭabaqāt; general; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad; tarikh_kabir_bukhari,tarikh_kabir_bukhari:ج5/ص92 | tabaqat_ibnsad:ج3/ص497 | tabaqat_ibnsad:ج7/ص261 | tabaqat_ibnsad:ج7/ص592 | tabaqat_ibnsad:ج8/ص90
عبد الله بن سعد,عبد الله بن سعد,3,7,biography/ṭabaqāt; general; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad; tarikh_kabir_bukhari,lisan_mizan_ibnhajar:ج9/ص340 | tarikh_kabir_bukhari:ج5/ص28 | tabaqat_ibnsad:ج5/ص300 | tabaqat_ibnsad:ج6/ص129 | tabaqat_ibnsad:ج9/ص506
ابراهيم بن محمد,إبراهيم بن محمد,3,6,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; mughni_duafa_dhahabi; tabaqat_ibnsad,tabaqat_ibnsad:ج7/ص398 | tabaqat_ibnsad:ج7/ص468 | tabaqat_ibnsad:ج7/ص544 | tabaqat_ibnsad:ج7/ص603 | duafa_uqayli:ج1/ص65
